Designator,Mid X,Mid Y,Rotation,Layer
BT1,149.6,-117.0,0.0,bottom
C1,174.5,-100.0,0.0,bottom
C2,154.0,-99.0,90.0,bottom
C3,149.95,-99.0,90.0,bottom
C4,145.9,-99.0,90.0,bottom
C5,141.85,-99.0,90.0,bottom
C6,137.8,-99.0,90.0,bottom
C7,133.75,-99.0,90.0,bottom
C8,129.7,-99.0,90.0,bottom
C9,125.65,-99.0,90.0,bottom
D1,196.5,-95.5,0.0,top
M2,197.45,-117.2,0.0,top
R1,125.3,-136.81,270.0,bottom
R2,129.35,-136.81,270.0,bottom
R3,133.4,-136.81,270.0,bottom
R4,137.45,-136.81,270.0,bottom
R5,141.5,-136.81,270.0,bottom
SW1,197.19,-141.0,0.0,top
U1,103.36,-118.0,270.0,top
U2,150.0,-136.5,0.0,bottom
U3,123.13,-77.07184,90.0,top
U4,191.4625,-76.6125,180.0,top
